id,name
5807,Creative Services EARS
18179,16air
58931,DragonCrystal
55270,GM hack
38808,puyofan99
12736,Lunar Ray Games
10209,DreamOn Studio
15538,TDZ Games
48933,2600 Connection
14536,"Tose CO., LTD"
22302,M-trix
4270,T's Music
558,FASA Studio
19930,Memoriesin8bit
3251,TAKE OFF
1580,Kerner Complex Security
50598,NovaTrix
12620,(Archive) Sony - duplicate
27857,"FXVILLE, Inc"
18826,98DEMAKE
58932,EUROPA Computer-Club
22304,Elegant Chaos
1572,Creative Sound Design
56258,SkyCat Games
53322,Medialink
19987,William Tang
21994,SOMETIME kichjioji
8252,2Play
53338,Soner Çakır
42407,Abracadabra Games
9602,rotobee
27855,Dagger Crown Studio
2734,Digital Red
35076,PotamWorks
14239,Self Made Miracle
57192,Altocorno
16840,Refocus Solutions
13949,Salix Games
488,Stick Man Games
24443,Khud0s
43910,Starry Studio
30177,d Marie Licea
57608,Ridgeline Studios
15289,Lucid Sheep Games
58351,XL2
41982,Tiamat Games
52445,Yonago Gainax
1490,Phoenix
18504,Studio Gier
54515,Warped Minds
871,Cyberhead
35332,Jon Bookout
16538,SGS Casting Services
30538,Team Weedle
41564,PlayerOne
39565,Tabor Robak
19601,Plan of Attack
25607,Black Alchemy Games
22622,Groover
54981,Dokiden
23026,Nikhil T
53192,IDTF
57664,LIVDG LIMITED
37371,kyohotpath game
16279,mrCiastku
58933,maxblive
2645,Important Looking Pirates
53759,Chaotix
37808,"TreSensa Technologies, Inc."
59069,Inka Games
24097,Palace
43166,Kyle Rodgers
49257,Fornaxus
20318,Ludare Games Group
52881,No more Sleep
5881,AKT
20321,Cerdeira Guillaume
23820,Bravemule
20926,Toucan Studio
58165,Shrey Games Inc
24594,I Love Company
1597,VoletMedia GmbH Munich
23612,No-Mind Games
53727,Nikita Kolesnikov
28319,Rice Games
48929,Rafael Alexandre Cardoso da Silva
14949,Nanashi Games
19950,Game Odyssey Ltd
53339,Nikita Sozidar
19984,Invictus Studio
19990,Born Frustrated Studio
23011,Yumenamakon
23801,Rate My Funeral
19044,RetroRevolution
49258,InfluencerApps
33407,Attrito M7 Productions
59070,Brian McRae Studio
29371,TOQ Games
32783,Niila Games
53526,Novadisc Games
12574,Biofaction
30800,Gradual Games
53728,Lu
359,Hammerhead
53283,Setone Games
48925,Supernova Alt Games
3274,Visual Works
3275,Big Solutions
19955,CRØSS Games
26520,电钮组
33562,WarpFrog
57621,StellwerkSim Betriebs-Verein e.V.
27800,GrinningColossus
49416,Erebus
24988,TempleCode
49563,Coud Code Team
32431,Andy Jurko
38565,RoryPumpkin
56535,fe5_ai
50617,nouhidev
25715,Top3Line
34773,Izeeware
23139,Nutaku Publishing
13167,Stone Heads
38169,Intelliplay
59071,Triad
3276,Frame Machine
30311,Grace Ching
30314,Gary Corriveau
3352,Plaid Hat Games
3354,Dynamedion
3365,Playman
3391,Finger Food Studios
3052,Mighty Rocket Studios
20411,Moonsprout Games
20413,Unspeakable Pixels
12434,Semanoor International
33683,YangBin
20820,JERA Game Studio
17919,Apple Cider
1507,LWJGL
54978,SANPACE
1508,3d Sound System
5076,Soft Enterprises
18513,Whatnotory LLC
27520,"Sphere, Inc."
54160,Black Zebra Studios
22538,Renan Reis
28303,John Riggs
54980,Goat
38553,Caffnight Software
37170,Crosstalk
52815,CopperTheJackal
58352,Grand Dad Mania Revived Team
3000,7Sixty
25454,NuSan
59072,Moss Tower
50600,StringsOnStarlight
12616,Kongroth
25619,Codebit Labs
54674,Oh Baby Games
38684,cccpo
15696,WSM Game Studio
46701,Fool Buddies
2715,Tiwak
3079,Yingpei Games
3714,DTMC
8083,Dvaput
47084,Play Systems
53284,Radiance Star
32683,Adi Zhavo
12152,Vindit
56724,JDDoesGames
43215,Iubisoft System SRL
25718,冷笑黑妖
12936,Game Path
1502,Rainmaker Studios
3174,AMD
32506,"Crunchy, Munch and Partners"
2220,SnapDragon Games
21843,Red Bullet Software
18507,atmosgames
48797,sovonight
15362,Rumbling Games
27802,José Castanheira
53527,Roman Maksymenko
13392,Hidden Treasures
18527,Bactrian Games
34538,KSYM
25597,Dumb Bear Studios
8607,Aartform Games
48630,Neko-01D
48633,LIFUEL
18131,Wer
2987,Guilti
2255,Chillingo
12460,Goatee Games
52133,Humanity 1 Studios
52715,Ben Big Game Studio
14756,Dufgames
21806,Gigawatt Studios
54161,Grizzly Club
13166,Arcanheim Softworks
12222,Gemi Games
52487,INioreh
59073,geoWaffle
37304,Yoshibi
14483,Skot Leach
12217,The Foregone Syndicate
59074,Gazoline Graphics
52312,Cat Hui Trading LLC
52490,Goldlocke
59075,Nord & Syd Virtual
13463,Crisp App Studio LLC
13743,SOULPIX
25296,ManvsGame
46806,opeq.dev
17526,Rawple Studio
1529,Absolute Quality Inc
3132,GMT
38608,Ultrabit
38554,evernever games
36564,AlexThomas125
3601,POP Sound
30607,Jason M. Heim
46609,Wise Production
1315,Monkey Bar Games
28610,what sorceress this
45613,Team FK
50621,R-Infinity
1683,The Pond
18731,Blooming Code
1682,News Cafe
34986,Chicken Head
1082,Guild Software
44232,Balloon Studios
15336,Willz
54162,Captain Dreamcast
2336,Coyote Console
13433,Bikkuri Games
19478,TA Inc.
32168,inc
1275,Dempa Shunbunsha
2226,Floor 84 Studio
3577,Hog Hill Mill
21111,GameUS Inc
36175,PPGUnity
37987,Happinet Indie Collection
21593,Laina Interactive
12208,Open Sorcery Games
55283,Sandfall Interactive
25290,Creative England
21610,"Yunus Ayyildiz, Ozan Çelik"
17620,8 Circuit Studios
15159,Alt Shift
25293,Ludic Side
2041,Kuusou Kagaku
45806,Eligos Games
29984,André Elias
54163,Lazy Dev Games
25299,"Grimoire Studio Co., Ltd."
34301,The FARM
25304,SF Graphics Inc.
25312,HyperDuck Studios
15312,Estudio Ábrego
35164,URG Studio
25317,Morphogenic Field Voice
25319,"Los Angeles County Museum of Art, Art of the Middel East Library"
25320,Time Magazine
3329,TriOviz
5394,Water Orion
3421,Odin
1895,EON Digital Entertainment
12466,Asylum House
25321,Life Magazine
12170,Unicow Games AB
43218,DarkSun Game
54516,VRWOOD virtual reality technology
2348,Flextronics
49829,1339
29843,Sleeping Panda Games
14564,(Archive) Ubisoft U.S
24371,中子星游戏研究所
36176,NovaStar
3589,OMD
26601,Prioneto Game
52649,Ionic Relay
54677,hittop
36371,yitengkeji
10856,Perkings Engineering
18880,RMAL
31371,sasakure.UK
35992,Art of war
19999,to
31168,Alando1
22731,Thomas Werth
2250,Nunchuck Games
25419,Aya
47083,Team Instant Defeat
12249,Sameer Hirezi
15822,(Archive) DUPLICATEEa
48926,Caio Ribeiro Chagas
12223,Over Fence
12228,Reactive Drop Team
57175,Bureau Bravin
6574,DMM.com
25424,Vittorio Romeo
4779,Panzer Gaming Studios
28506,Voolgi
2251,Hydravision Entertainment
9936,Polykid
48927,Martelo Nero
25430,Squeemish
19519,Lion Confectionary
53530,Panda Games
9727,Softdisk
28972,Ruben Alcañiz
25432,Gareth Ffoulkes
25544,SEGA HARDlight
24602,Sticky Toffee Games
25610,Jay Cobs
25618,Vpiro
25624,Sonikku
25297,"Chiptune, Inc."
25307,"Zinou Pharmaceutics, Inc."
25310,"SuperSweep co., ltd."
13019,Topsliked
8058,Joakim Sandberg
3113,Wildfire Games
25324,DVA
31815,IceSitruuna
25400,RaphSfeir
3654,Bug-Tracker Laboratories Inc.
28792,Imperfect Pixel
3806,Triple A Testing
84,CTO SpA
4191,O-TWO Inc.
4228,ZeroDiv
5251,InsGames
12610,D2C Games
59076,Storstockholms Lokaltrafik
19509,Tokyo News Service
23536,Hubert Dzikuć
14760,I-Inferno
32765,Go4
3805,Sprachlabor Audioproduktionen GmbH
29168,The Haunted PS1
27538,Studio Nevermore
25473,Tapteek
12558,Humble Sage Games
33563,Vankrupt Games
23667,MrTedders
14688,Head Gear
32843,Full Control Studios
695,Auran Games
12697,Paradise Software
25433,Kayin
43217,MeowNature
35990,Steem Monsters Corp
19114,"Amazon Game Studios, Orange County"
6321,The Tiniest Shark
19115,Foundry 42 Ltd
18119,Locus Ludus
53124,Studio Ox
45166,Gadget Gaming
52394,Kuura Games
34852,CHARON Inc.
25469,rodolfodth
15710,HD Resources
12717,wittyGamerz
3858,Independent Studio Services
29978,Daniel Janák
4170,FilmOasis Inc.
57821,Typequick
19845,TwoPointZero
33858,Piranha Interactive Publishing
26441,Xeraclom14
12720,AreddaCo
13556,Fully Illustrated
14736,Team DYO
25608,Slight Super Powers
28612,Big Heart Productions
3743,MD Assets
7329,BLT & Associates
12691,Alpha-Omega Software
12710,Dragoon Domain
3744,Star City Designs
43774,PlayStation Studios Visual Arts
22799,Dieter Marfurt
29827,A Maze
18135,橙光游戏
20858,Mariano Bucci
3884,Daybreak CG
17933,Byngames
20008,Wobblyware
4077,Software Project
5111,Size Five Games
47164,Symbolic Software
16921,True Illusion Software
40166,Prestige Softwareentwicklung
43219,Gamera Game
17229,NTL
34390,A13
13391,The Electric Ballhau
5438,Pyramid Studios
12718,Gambarion
18118,Eteru Studio
39243,P4L
58313,SamBunch
34506,Black Widow Backe
5199,SleepTeam
4283,Avanquest
40107,Media Constructors
12748,Brainwave Creations
30984,Crazy Labs by TabTale
4874,Savalas Studios
12882,Greens s.r.o.
3940,U-TRAX
37623,Polycrow
3941,Scillex
14620,"entalize co., ltd."
12705,Swizzle llc
57770,spiregg
39803,Mercure
32815,Omega Productions
24441,"TALESSHOP Co., Ltd."
3942,entalize
3943,Ubisoft South Korea
19979,Mujo Games
7029,93 Games Studio
13029,AMG Games
44042,East Valley Software
46067,OneManOnly Studios
5312,Sparpweed Games
5178,The Foundry
12433,Semaphore
33415,7th Road
54681,Scipio
12702,BurningFlower
43775,Flying Jack Productions
14734,7levels
57771,Aaron Ware
57382,Sibling Games
14771,NMC Studios
22501,Mike Karman
38520,Titan Arrow Games
32538,Teddy Toussaint
46416,felix lecocq
49569,RexxNorilsk
4192,NAC Inc.
12879,gamesonlinecorner
40424,Firehazard Studio
31892,AlignmentSharp
14271,Stabbarey
57412,Minds2Bros
30623,Traveler Project
22641,CyOEntertainment
54682,Trabi Games
2071,Ariolasoft
12683,Darril Arts
5685,Comgad
38415,AI Funk
12711,NomaGames
24731,AlyStudio
12873,Act 3 Games
49832,LMPuny
16207,C.P.M. Chapman
32044,JO Dev
5117,Hodder & Stoughton
54166,Bitfire Games
5171,Neostream
43221,Flt Studio
42748,Hunter Hamster Studio
56372,TioMedusin
53252,The A-Team
29487,Laika Animation Studio
57417,TheSleepyKoala
33815,PIXEL MINT
54937,Mithril Interactive
47416,Huy Le
29418,Harold Studios
54167,Autumn Chen
18538,racoonbytes
33425,ShiroKuroSoft
28818,Nick Montfort
19539,manQ
26576,EpicWade123
38601,Marco Noordergraaf
26608,Frostlind Games
54683,Wmm 555
28706,Burnout Game Ventures
22747,EquiDev
49833,Alex No
24910,jota-gil
24930,Catpad
24949,Renaissance
16961,vt
24990,VivaGames
5051,On A roll studios
17055,Phenomenon Games
13079,"Miles Computing, Inc."
43222,PVGames
57413,Legion Corn
46808,AutumnTower Studio
24908,上海游七网络科技有限公司
7429,(Archive) PopTop - duplicate
18139,风暴工作室
54168,Jasper van Turnhout
16210,Offworld Games
39403,R_Games
59078,SynergyGunZ
5759,Digital Outpost
5760,Gumas Advertising
15349,Stars Ashes
33538,Blackwood Recordings
29804,Lifline Ventures
54939,EmadePlus
37416,Odessa Project
13554,GameOrchard Productions
28297,Xingpan ( 北京星磐科技 )
5591,Sunrise
5597,KES
16602,Info Enterterainment
30638,Over Hook Games
38661,Twinsanity's Channel
23697,Justin Herrick
39720,Tiancity
26723,Virtex Edge Design
21233,Anatoliy Loginovskikh
30819,Wily Pumpkin
37827,Team Dead or Alive
6979,Lumenox
44041,Dark Entertainment
20051,WB Music Corp.
16140,1P2P Studio
54169,Piranha Fang
49570,Warcrown Entertainment
38506,US8
7818,BigBlueCup Community
48314,Tiernan Brazil
19959,Planet Interactive Development
32821,Netzweck GmbH
5929,DGCIS
16597,Ichimonkai.corp
12857,Soiree Games
5253,Streko Graphics
16598,EAT & Co
16599,Imutaya
16604,XING Inc.
37607,MansterSoft
25617,Coding Iggy
30622,L2 Games
26624,Something Something Games
21786,IZMA
23004,Sprite Hills
12892,American Action AB
17977,LFiO Studio
18005,CasualGames.nu
5435,Pacific Ocean Post
20068,Alley Music Corp. (BMI)
32808,Homeostase
57102,FedoraFriday
42140,What's a Mook? Games
333,EA Singapore
23362,Jint Game
23365,Roman Loznevoy
15372,Dumb Luck Games
39407,Slordef
15355,Abraxas Interactive
36221,Good Badger
58224,PsychoPlasm
57418,artem749
28819,Megafauna
31821,Lin Meyer
12955,Jake Johnson
13271,Mandel ArtPlains
20570,Abyte Entertainment
37992,厦门雷云
35978,Monstar Mods
6301,Tokyo Denki University
32983,R&R Software
50601,Siurell Games
16603,Acecook
16632,B&V Corporation
34984,Circle Infotech
30988,TROOOZE
52990,Gustavo Jose da Silva
36990,ViewApp
41992,hiyoriosin
18004,cyreides
24141,Sketch House Games
44044,DravelStudios
57103,Mar99troid
18158,Trueyuna Technology Co. Ltd.
16208,G.R. Brooks
12032,HEROZ
9319,House of Tales
23364,Art Interactive
15367,Özgün Bursalıoğlu
40417,AO Games
15351,probe_31
16581,New Japan Pro-Wrestling
33602,Jakey Mumfie
53726,Davka Corporation
6090,"Dean ""Rocket"" Hall"
18157,CCYY
5766,MusicWorks
36538,Unfinished Circl
32773,Wolfy
6302,Dr Pepper
19571,Tek Systems Canada
20417,CODEPINK
6442,The Hungarian Studio Orchestra
29474,Lollipop Robot
38602,2ForallGames
6651,Phonetic Arts
7695,SMP
13745,Zwing Games
5761,Eldoren Consulting
18779,NighthoodGames
33802,GameDev United
13808,Einsoft
29809,Volumetric
32818,AHAKuo
35827,Commodore Educational Software
5879,Denkieizo
22894,"(Archive) eGames, Inc."
8906,GSProductions Ltd.
5930,La Mandarine
23964,Plasticity Studios
29993,Game Museum
10040,IR-Entertainment Ltd.
20070,BMG Rights Management (US) LLC.
18085,Elyland
8095,(Archive) DUPLICATEKochMedia
7096,Pixelnest Studio
7123,Techland Soft
8180,ShadowShifters
8199,FullPowerSideAttack.com
6447,Mission Support Specialist
7313,FLY Films
58226,Karmic Studio
57416,Tiny Shiny Things
42731,2112Games
7304,Sakuratei Motion Capture
52764,AI Gaming Dev
6874,Robert Bosch
