id,name
62,Atari Jaguar
477,Panasonic Jungle
504,Uzebox
148,AY-3-8607
65,Atari 8-bit
128,PC Engine SuperGrafx
89,Microvision
8,PlayStation 2
6,PC (Microsoft Windows)
23,Dreamcast
35,Sega Game Gear
44,Tapwave Zodiac
88,Odyssey
94,Commodore Plus/4
123,WonderSwan Color
134,Acorn Electron
129,Texas Instruments TI-99
133,Odyssey 2 / Videopac G7000
135,Hyper Neo Geo 64
136,Neo Geo CD
142,PC-50X Family
144,AY-3-8710
146,AY-3-8605
147,AY-3-8606
149,PC-9800 Series
150,Turbografx-16/PC Engine CD
505,Elektor TV Games Computer
156,Thomson MO5
158,Commodore CDTV
163,SteamVR
237,Sol-20
13,DOS
24,Game Boy Advance
30,Sega 32X
85,Donner Model 30
119,Neo Geo Pocket
41,Wii U
53,MSX2
140,AY-3-8500
143,AY-3-8760
60,Atari 7800
70,Vectrex
145,AY-3-8603
77,Sharp X1
78,Sega CD
87,Virtual Boy
97,PDP-8
98,DEC GT40
101,Ferranti Nimrod Computer
108,PDP-11
109,CDC Cyber 70
112,Microcomputer
113,OnLive Game System
115,Apple IIGS
120,Neo Geo Pocket Color
124,SwanCrystal
125,PC-8800 Series
127,Fairchild Channel F
132,Amazon Fire TV
138,VC 4000
139,1292 Advanced Programmable Video System
153,Dragon 32/64
154,Amstrad PCW
155,Tatung Einstein
306,Satellaview
307,Game & Watch
308,Playdia
131,Super NES CD-ROM System
9,PlayStation 3
61,Atari Lynx
11,Xbox
15,Commodore C64/128/MAX
18,Nintendo Entertainment System
66,Atari 5200
111,Imlac PDS-1
22,Game Boy Color
32,Sega Saturn
46,PlayStation Vita
67,Intellivision
73,BlackBerry OS
86,TurboGrafx-16/PC Engine
114,Amiga CD32
116,Acorn Archimedes
117,Philips CD-i
118,FM Towns
121,Sharp X68000
122,Nuon
141,AY-3-8610
152,FM-7
157,NEC PC-6000 Series
162,Oculus VR
20,Nintendo DS
57,WonderSwan
69,BBC Microcomputer System
71,Commodore VIC-20
339,Sega Pico
379,Game.com
382,Intellivision Amico
387,Oculus Go
374,Sharp MZ-2200
74,Windows Phone
79,Neo Geo MVS
388,Gear VR
80,Neo Geo AES
375,Epoch Cassette Vision
376,Epoch Super Cassette Vision
84,SG-1000
91,Bally Astrocade
170,Google Stadia
377,Plug & Play
384,Oculus Quest
385,Oculus Rift
21,Nintendo GameCube
33,Game Boy
42,N-Gage
93,Commodore 16
96,PDP-10
161,Windows Mixed Reality
479,Terebikko / See 'n Say Video Phone
167,PlayStation 5
50,3DO Interactive Multiplayer
137,New Nintendo 3DS
64,Sega Master System/Mark III
274,PC-FX
309,Evercade
381,Playdate
95,PDP-1
110,PLATO
372,OOParts
378,Gamate
380,Casio Loopy
100,Analogue electronics
478,Panasonic M2
236,Exidy Sorcerer
26,ZX Spectrum
102,EDSAC
103,PDP-7
27,MSX
104,HP 2100
166,Pokémon mini
105,HP 3000
106,SDS Sigma 7
37,Nintendo 3DS
38,PlayStation Portable
107,Call-A-Computer time-shared mainframe computer system
151,TRS-80 Color Computer
164,Daydream
169,Xbox Series X|S
203,DUPLICATE Stadia
238,DVD Player
239,Blu-ray Player
240,Zeebo
386,Meta Quest 2
99,Family Computer
165,PlayStation VR
405,Windows Mobile
389,AirConsole
390,PlayStation VR2
406,Sinclair QL
407,HyperScan
408,Mega Duck/Cougar Boy
410,Atari Jaguar CD
411,Handheld Electronic LCD
409,Legacy Computer
412,Leapster
414,LeapTV
413,Leapster Explorer/LeadPad Explorer
438,Arduboy
415,Watara/QuickShot Supervision
439,V.Smile
441,PocketStation
417,Palm OS
7,PlayStation
416,64DD
16,Amiga
471,Meta Quest 3
480,Super A'Can
47,Virtual Console
440,Visual Memory Unit / Visual Memory System
472,visionOS
473,Arcadia 2001
51,Family Computer Disk System
474,Gizmondo
25,Amstrad CPC
52,Arcade
29,Sega Mega Drive/Genesis
59,Atari 2600
68,ColecoVision
475,R-Zone
476,Apple Pippin
481,Tomy Tutor / Pyuta / Grandstand Tutor
486,Digiblast
48,PlayStation 4
12,Xbox 360
34,Android
482,Sega CD 32X
49,Xbox One
3,Linux
4,Nintendo 64
55,Legacy Mobile Device
5,Wii
19,Super Nintendo Entertainment System
39,iOS
58,Super Famicom
63,Atari ST/STE
75,Apple II
82,Web browser
90,Commodore PET
126,TRS-80
159,Nintendo DSi
487,LaserActive
14,Mac
373,Sinclair ZX81
72,Ouya
130,Nintendo Switch
