,id,type,required_age,is_free,title,release_date,price,discount_percentage,genre,developer,publisher,description,platforms
33,322330.0,game,0.0,False,Don't Starve Together,"21 Apr, 2016","₩ 15,500",0,"Action, Action, Action, Action, Action, Action",Klei Entertainment,Klei Entertainment,"Fight, Farm, Build and Explore Together in the standalone multiplayer expansion to the uncompromising wilderness survival game, Don't Starve.","{'windows': True, 'mac': True, 'linux': True}"
37,1771300.0,game,0.0,False,Kingdom Come: Deliverance II,"Feb 11, 2025",$59.99,0,"Action, Action, Action",Warhorse Studios,Deep Silver,"A thrilling story-driven action RPG, with a rich open world, set in 15th century Medieval Europe. Experience the ultimate medieval adventure - through the eyes of young Henry - as you embark on a journey of epic proportions.","{'windows': True, 'mac': False, 'linux': False}"
72,2420660.0,game,0.0,False,Neva,"15 Oct, 2024",$10.49 USD,0,"Adventure, Adventure",Nomada Studio,Devolver Digital,Experience the moving tale of a young woman and her lifelong bond with a magnificent wolf as they embark on a thrilling adventure through a rapidly dying world.,"{'windows': True, 'mac': True, 'linux': False}"
89,991270.0,game,0.0,False,The Legend of Heroes: Trails of Cold Steel III,"23 Mar, 2020",CDN$ 79.99,0,RPG,"Nihon Falcom, Engine Software BV, PH3 GmbH","NIS America, Inc.","Experience an epic story developed across three titles, and crafted for new and old fans alike. Also includes an interactive introduction to catch up new players to the ongoing story so anyone can dive right in to the world of Trails of Cold Steel.","{'windows': True, 'mac': False, 'linux': False}"
106,3027620.0,game,0.0,False,Kakenuke★Forward to Our Sparking Youth!,"Oct 18, 2024",$23.99,20,"Adventure, Adventure",SAGA PLANETS,"NekoNyan Ltd., HIKARI FIELD","What does &quot;youth&quot; mean to you? Is it a time in your life meant for having fun? For devoting yourself to a cause? For Yuu Tono, it's meant earning money and studying to build a brighter future for him and his family. But maybe the new (or maybe old?) friend who's come into his life will change that.","{'windows': True, 'mac': False, 'linux': False}"
111,1135960.0,dlc,0.0,False,Space Engineers - Economy Deluxe,22 sierpnia 2019,"17,99zł",0,"Akcja, Akcja, Akcja, Akcja",Keen Software House,"N, /, A","The Space Engineers - Economy Deluxe Pack includes the Miner suit, the Soldier suit, the Disco armor skin, the Silver armor skin, the Glamour armor skin, fourteen Safe zone skins, thirty two Faction icons, the Vending machine and the ATM machine.","{'windows': True, 'mac': False, 'linux': False}"
113,3108720.0,game,0.0,False,Silent:Abandoned,Coming soon,Free,0,"Adventure, Adventure, Adventure",FrozenGameStudio,FrozenGameStudio,''Silent:Abandoned'' is a a psychological thriller. There are two brothers. They are vloggers. Michael And John. who love to vlog abandoned places. One night they go to an abandoned house.,"{'windows': True, 'mac': False, 'linux': False}"
120,2307350.0,game,0.0,False,Into the Radius 2,"Jul 24, 2024",$39.99,0,"Action, Action, Action, Action, Action",CM Games,CM Games,"Into the Radius 2 is an immersive VR survival shooter, set in a realm of surreal landscapes and deadly entities known as Pechorsk Anomaly. Arm yourself with realistic weapons and venture deeper into the mysteries that lie within, either solo or with a friend by your side.","{'windows': True, 'mac': False, 'linux': False}"
167,3080030.0,game,0.0,False,Chroma Cross,"23 Oct, 2024",Free,0,"Casual, Casual, Casual, Casual",TheFitzyGames,TheFitzyGames,Chroma Cross takes Nonograms beyond the binary of black and white and brings them into a rainbow of color. Experience Picross in refreshing polychrome.,"{'windows': True, 'mac': False, 'linux': False}"
174,1584090.0,game,0.0,False,Touhou Mystia's Izakaya,"1 Oct, 2021","4,41€",20,"Casual, Casual, Casual, Casual","二色幽紫蝶, Re零同人社","二色幽紫蝶, Re零同人社","A brand new pixel art restaurant simulator based on the Touhou Project! Play as Mystia, the owner of a small izakaya. Collect ingredients by day, cater to the customers by night, learn recipes from familiar characters, and become the best izakaya owner in all of Gensokyo!","{'windows': True, 'mac': True, 'linux': False}"
