[2024-10-18T16:03:57.336+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-18T15:58:45.154710+00:00 [queued]>
[2024-10-18T16:03:57.345+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-18T15:58:45.154710+00:00 [queued]>
[2024-10-18T16:03:57.345+0000] {taskinstance.py:1359} INFO - Starting attempt 2 of 4
[2024-10-18T16:03:57.358+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): steam_extraction> on 2024-10-18 15:58:45.154710+00:00
[2024-10-18T16:03:57.363+0000] {standard_task_runner.py:57} INFO - Started process 68 to run task
[2024-10-18T16:03:57.367+0000] {standard_task_runner.py:84} INFO - Running: ['airflow', 'tasks', 'run', 'etl_steam_pipeline', 'steam_extraction', 'manual__2024-10-18T15:58:45.154710+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/steam_dag.py', '--cfg-path', '/tmp/tmp_1big22f']
[2024-10-18T16:03:57.368+0000] {standard_task_runner.py:85} INFO - Job 11: Subtask steam_extraction
[2024-10-18T16:03:57.420+0000] {task_command.py:415} INFO - Running <TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-18T15:58:45.154710+00:00 [running]> on host 6c0d6974ad20
[2024-10-18T16:03:57.495+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Jordan Welborn' AIRFLOW_CTX_DAG_ID='etl_steam_pipeline' AIRFLOW_CTX_TASK_ID='steam_extraction' AIRFLOW_CTX_EXECUTION_DATE='2024-10-18T15:58:45.154710+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-10-18T15:58:45.154710+00:00'
[2024-10-18T16:03:57.497+0000] {logging_mixin.py:151} INFO - Processed 2129810 Already! Sorry Try another
[2024-10-18T16:03:57.497+0000] {logging_mixin.py:151} INFO - Processed 2335800 Already! Sorry Try another
[2024-10-18T16:03:57.498+0000] {logging_mixin.py:151} INFO - Processed 986010 Already! Sorry Try another
[2024-10-18T16:03:57.498+0000] {logging_mixin.py:151} INFO - Processed 2097170 Already! Sorry Try another
[2024-10-18T16:03:57.499+0000] {logging_mixin.py:151} INFO - Processed 3155230 Already! Sorry Try another
[2024-10-18T16:03:57.499+0000] {logging_mixin.py:151} INFO - Processed 3213430 Already! Sorry Try another
[2024-10-18T16:03:57.499+0000] {logging_mixin.py:151} INFO - Processed 3282810 Already! Sorry Try another
[2024-10-18T16:03:57.500+0000] {logging_mixin.py:151} INFO - Processed 585420 Already! Sorry Try another
[2024-10-18T16:03:57.500+0000] {logging_mixin.py:151} INFO - Processed 1948280 Already! Sorry Try another
[2024-10-18T16:03:57.501+0000] {logging_mixin.py:151} INFO - Processed 3231920 Already! Sorry Try another
[2024-10-18T16:03:57.501+0000] {logging_mixin.py:151} INFO - Processed 1116170 Already! Sorry Try another
[2024-10-18T16:03:57.502+0000] {logging_mixin.py:151} INFO - Processed 3045050 Already! Sorry Try another
[2024-10-18T16:03:57.502+0000] {logging_mixin.py:151} INFO - Processed 2255370 Already! Sorry Try another
[2024-10-18T16:03:57.503+0000] {logging_mixin.py:151} INFO - Processed 941460 Already! Sorry Try another
