[2024-10-18T16:00:43.163+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction scheduled__2024-10-17T00:00:00+00:00 [queued]>
[2024-10-18T16:00:43.172+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction scheduled__2024-10-17T00:00:00+00:00 [queued]>
[2024-10-18T16:00:43.173+0000] {taskinstance.py:1359} INFO - Starting attempt 4 of 4
[2024-10-18T16:00:43.186+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): steam_extraction> on 2024-10-17 00:00:00+00:00
[2024-10-18T16:00:43.191+0000] {standard_task_runner.py:57} INFO - Started process 65 to run task
[2024-10-18T16:00:43.194+0000] {standard_task_runner.py:84} INFO - Running: ['airflow', 'tasks', 'run', 'etl_steam_pipeline', 'steam_extraction', 'scheduled__2024-10-17T00:00:00+00:00', '--job-id', '10', '--raw', '--subdir', 'DAGS_FOLDER/steam_dag.py', '--cfg-path', '/tmp/tmp1sg4510j']
[2024-10-18T16:00:43.195+0000] {standard_task_runner.py:85} INFO - Job 10: Subtask steam_extraction
[2024-10-18T16:00:43.252+0000] {task_command.py:415} INFO - Running <TaskInstance: etl_steam_pipeline.steam_extraction scheduled__2024-10-17T00:00:00+00:00 [running]> on host 6c0d6974ad20
[2024-10-18T16:00:43.333+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Jordan Welborn' AIRFLOW_CTX_DAG_ID='etl_steam_pipeline' AIRFLOW_CTX_TASK_ID='steam_extraction' AIRFLOW_CTX_EXECUTION_DATE='2024-10-17T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='4' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-10-17T00:00:00+00:00'
[2024-10-18T16:00:43.334+0000] {logging_mixin.py:151} INFO - Processed 2129810 Already! Sorry Try another
[2024-10-18T16:00:43.335+0000] {logging_mixin.py:151} INFO - Processed 2335800 Already! Sorry Try another
[2024-10-18T16:00:43.336+0000] {logging_mixin.py:151} INFO - Processed 986010 Already! Sorry Try another
[2024-10-18T16:00:43.336+0000] {logging_mixin.py:151} INFO - Processed 2097170 Already! Sorry Try another
[2024-10-18T16:00:43.337+0000] {logging_mixin.py:151} INFO - Processed 3155230 Already! Sorry Try another
[2024-10-18T16:00:43.337+0000] {logging_mixin.py:151} INFO - Processed 3213430 Already! Sorry Try another
[2024-10-18T16:00:43.338+0000] {logging_mixin.py:151} INFO - Processed 3282810 Already! Sorry Try another
[2024-10-18T16:00:43.339+0000] {logging_mixin.py:151} INFO - Processed 585420 Already! Sorry Try another
[2024-10-18T16:00:43.339+0000] {logging_mixin.py:151} INFO - Processed 1948280 Already! Sorry Try another
[2024-10-18T16:00:43.340+0000] {logging_mixin.py:151} INFO - Processed 3231920 Already! Sorry Try another
[2024-10-18T16:00:43.340+0000] {logging_mixin.py:151} INFO - Processed 1116170 Already! Sorry Try another
[2024-10-18T16:00:43.341+0000] {logging_mixin.py:151} INFO - Processed 3045050 Already! Sorry Try another
[2024-10-18T16:00:43.341+0000] {logging_mixin.py:151} INFO - Processed 2255370 Already! Sorry Try another
[2024-10-18T16:00:43.342+0000] {logging_mixin.py:151} INFO - Processed 941460 Already! Sorry Try another
[2024-10-18T16:00:43.342+0000] {logging_mixin.py:151} INFO - Processed 1520470 Already! Sorry Try another
[2024-10-18T16:00:43.343+0000] {logging_mixin.py:151} INFO - Processed 553780 Already! Sorry Try another
[2024-10-18T16:00:43.344+0000] {logging_mixin.py:151} INFO - Processed 308600 Already! Sorry Try another
[2024-10-18T16:00:43.344+0000] {logging_mixin.py:151} INFO - Processed 1459630 Already! Sorry Try another
[2024-10-18T16:00:43.345+0000] {logging_mixin.py:151} INFO - Processed 2319940 Already! Sorry Try another
[2024-10-18T16:00:43.345+0000] {logging_mixin.py:151} INFO - Processed 2139460 Already! Sorry Try another
[2024-10-18T16:00:43.346+0000] {logging_mixin.py:151} INFO - Processed 2334700 Already! Sorry Try another
[2024-10-18T16:00:43.346+0000] {logging_mixin.py:151} INFO - Processed 2399420 Already! Sorry Try another
[2024-10-18T16:00:43.347+0000] {logging_mixin.py:151} INFO - Processed 2999030 Already! Sorry Try another
[2024-10-18T16:00:43.348+0000] {logging_mixin.py:151} INFO - Fetching details for app ID: 258550...
[2024-10-18T16:00:43.775+0000] {logging_mixin.py:151} INFO - Failed to get details for app ID: 258550
[2024-10-18T16:00:43.777+0000] {logging_mixin.py:151} INFO - Processed 1851350 Already! Sorry Try another
[2024-10-18T16:00:43.777+0000] {logging_mixin.py:151} INFO - Processed 3018090 Already! Sorry Try another
