id,category,first_release_date,involved_companies,name,platforms,storyline,summary,themes,updated_at,aggregated_rating,aggregated_rating_count,status
131913,0,1474416000.0,"[94670, 94671]",Maji Kyun! Renaissance,[46],"In a world where art becomes magic, Aigasaki Kohana is a student who just enrolled into Hoshigei Academy, a high school conceived to help students fully develop their art. Inspired by her late mother, a flower arranger, she enrolls as a second year student. However, while she discovers what becoming an Artista really means, she'll discover friendship and love...",A cross media collaboration project between Sunrise & Broccolli.,"[31, 44]",1681992241,,,
88308,0,1478649600.0,,Hey Duggee: The Big Outdoor App,[39],,"Welcome to the Big Outdoors, Squirrels! Introducing the latest app featuring Hey Duggee! Safe, ad-free fun for your little ones. 
 
Completing each activity earns the Squirrel a badge. With 5 Squirrels playing for 7 badges each, that’s a whole lot of Duggee Hugs!",,1685014987,,,
28072,0,1536796800.0,"[67031, 131106]",Megaquarium,"[3, 6, 14, 48, 49, 130]",,"A theme park management game with an aquatic twist. Design your displays, look after your fish, manage your staff and keep your guests happy! It's all in a day's work as the curator of your very own Megaquarium.","[28, 33]",1729146109,82.0,6.0,
95080,0,,,Dotra,,,,,1670992528,,,
104748,0,,,Space station - build your own ISS,,,,,1670986137,,,
89616,0,,[154613],Bubble Whirl Shooter,"[34, 39]",,"Shoot bubbles and match colors to pop your way up to victory in this bubble shooting adventure, win magic keys to unlock more secret colorful bubble world, it’s time to enjoy the endless bubble shooting fun!",,1678800343,,,8.0
91579,0,,,Racing Live,,,,,1670942773,,,
2401,0,861321600.0,"[5589, 5590]",Jonah Lomu Rugby,"[7, 13, 32]",,"Jonah Lomu Rugby is a sports video game developed by Rage Software and published by Codemasters in 1997. It was released for MS-DOS, PlayStation and Sega Saturn. It was the first rugby union game released on the Saturn or PlayStation platforms.

It has five game modes: Friendly, World Cup, Tournament, Territories Cup and Classic Matches.

The title of the video game refers to former New Zealand winger Jonah Lomu.",,1727332861,70.0,2.0,
119025,0,1559952000.0,"[229692, 229693]",Pet Puzzle,[6],,Pet Puzzle is a relaxing and leisurely three-in-a-row game.,,1693604655,,,
213046,3,1659916800.0,,The Ultimate FMV Bundle 2,[49],,"Wales Interactive is proud to offer the ultimate bundle for their very best FMV games! Featuring Night Book, Who Pressed Mute on Uncle Marcus? Bloodshore, Five Dates and I Saw Black Clouds in one bundle!",,1706116564,,,
