id,aggregated_rating,aggregated_rating_count,category,dlcs,first_release_date,involved_companies,name,parent_game,platforms,status,themes,updated_at
131913,N/A,N/A,0,N/A,1474416000,"[94670, 94671]",Maji Kyun! Renaissance,N/A,[46],N/A,"[31, 44]",1681992241
88308,N/A,N/A,0,N/A,1478649600,N/A,Hey Duggee: The Big Outdoor App,N/A,[39],N/A,N/A,1685014987
95080,N/A,N/A,0,N/A,N/A,N/A,Dotra,N/A,N/A,N/A,N/A,1670992528
104748,N/A,N/A,0,N/A,N/A,N/A,Space station - build your own ISS,N/A,N/A,N/A,N/A,1670986137
89616,N/A,N/A,0,N/A,N/A,[154613],Bubble Whirl Shooter,N/A,"[34, 39]",8,N/A,1678800343
91579,N/A,N/A,0,N/A,N/A,N/A,Racing Live,N/A,N/A,N/A,N/A,1670942773
2401,70.0,2,0,N/A,861321600,"[5589, 5590]",Jonah Lomu Rugby,N/A,"[7, 13, 32]",N/A,N/A,1727332861
119025,N/A,N/A,0,N/A,1559952000,"[229692, 229693]",Pet Puzzle,N/A,[6],N/A,N/A,1693604655
213046,N/A,N/A,3,N/A,1659916800,N/A,The Ultimate FMV Bundle 2,N/A,[49],N/A,N/A,1706116564
274149,N/A,N/A,5,N/A,936403200,N/A,Crusades,10192,[6],N/A,[1],1724515701
130740,N/A,N/A,0,N/A,N/A,N/A,Deathmatch Club,N/A,N/A,N/A,N/A,1670968762
274991,N/A,N/A,0,N/A,1135987200,[238300],Hi-5 DVD Game,N/A,[238],N/A,[35],1698918486
203546,N/A,N/A,0,N/A,1654560000,N/A,Meat & Greed,N/A,[6],N/A,N/A,1691320285
314733,N/A,N/A,0,N/A,1720396800,N/A,MadBreak,N/A,[6],4,N/A,1727333125
230654,N/A,N/A,0,N/A,1217548800,[199895],Hockey de Mesa,N/A,[64],N/A,N/A,1718238480
176242,N/A,N/A,0,N/A,N/A,N/A,This hole in my chest,N/A,N/A,N/A,N/A,1671002976
99620,N/A,N/A,0,N/A,1525046400,"[77163, 77164]",Shadow Wolf Mysteries: Cursed Wedding - Collector's Edition,N/A,[6],N/A,N/A,1691345772
94975,N/A,N/A,0,N/A,N/A,N/A,Wubble Bubbles,N/A,N/A,N/A,N/A,1670979157
192652,N/A,N/A,0,N/A,N/A,N/A,Out of Orbit,N/A,N/A,N/A,[1],1697957377
102637,N/A,N/A,0,N/A,N/A,N/A,Word Champion!,N/A,N/A,N/A,N/A,1670986215
130742,N/A,N/A,0,N/A,N/A,N/A,Flashy Maze,N/A,N/A,N/A,N/A,1670969862
32258,N/A,N/A,0,N/A,1474848000,N/A,The Divine Paradox,N/A,[6],N/A,N/A,1670977443
94831,N/A,N/A,0,N/A,N/A,N/A,Lines,N/A,N/A,N/A,N/A,1521417600
101840,N/A,N/A,0,N/A,N/A,N/A,Aisleen,N/A,N/A,N/A,N/A,1670981355
296606,N/A,N/A,0,N/A,1714867200,N/A,The Way Of Kings,N/A,"[6, 14]",4,[1],1727968912
268167,N/A,N/A,13,N/A,N/A,N/A,Train Simulator: Zhengxi Highspeed: Zhengzhou - Sanmenxia Route,198295,N/A,N/A,N/A,1695635362
101761,N/A,N/A,0,N/A,N/A,N/A,BackDoor- Door 1,N/A,N/A,N/A,N/A,1670984951
85137,N/A,N/A,0,N/A,1253836800,[237438],Family Trainer: Extreme Challenge,N/A,[5],N/A,N/A,1710322141
15258,N/A,N/A,0,N/A,662601600,N/A,Masterblazer,N/A,"[16, 63]",N/A,[1],1684465254
85349,N/A,N/A,0,N/A,1467244800,N/A,Prism Pets,N/A,[41],N/A,N/A,1729185744
230918,N/A,N/A,13,N/A,N/A,N/A,King's Hand: Seasonal Winter Pack,231152,N/A,N/A,[1],1673865650
95081,N/A,N/A,0,N/A,N/A,N/A,Soccer Rally Arena,N/A,N/A,N/A,N/A,1670989456
130745,N/A,N/A,0,N/A,N/A,N/A,TS Online Mobile,N/A,N/A,N/A,N/A,1670969848
125970,N/A,N/A,0,N/A,N/A,N/A,Tie Break Tennis,N/A,N/A,N/A,N/A,1670969599
171563,N/A,N/A,1,N/A,N/A,N/A,Space Fox Kimi: The Battle of Mochi Prime,107843,N/A,N/A,N/A,1691345533
283004,N/A,N/A,11,N/A,N/A,N/A,Porky's,22761,[68],6,N/A,1706139615
230919,N/A,N/A,13,N/A,N/A,N/A,King's Hand: Exotic Purgatory Pack,231152,N/A,N/A,[1],1673865621
36573,N/A,N/A,0,N/A,875577600,"[48782, 48783, 48784]",Maximum Force,N/A,"[7, 32, 52]",N/A,N/A,1718016813
82461,N/A,N/A,0,N/A,1480032000,N/A,10tons Adventure Puzzles Bundle,N/A,[49],N/A,N/A,1670990469
96085,N/A,N/A,0,N/A,N/A,N/A,Rocky Climb,N/A,N/A,N/A,N/A,1670985778
12323,N/A,N/A,0,N/A,662601600,"[240760, 240761]",Fatal Run,N/A,[60],N/A,"[1, 18]",1719598350
24244,69.0,1,0,N/A,N/A,N/A,Memorick: The Apprentice Knight,N/A,N/A,N/A,N/A,1670994419
130753,N/A,N/A,0,N/A,441676800,"[217702, 217703]",Crazy Kong,N/A,[373],N/A,[1],1685493936
268284,N/A,N/A,1,N/A,N/A,N/A,Graviteam Tactics: Stalemate on Donets,18173,N/A,N/A,N/A,1695635371
283005,N/A,N/A,11,N/A,N/A,N/A,Video Hustler,38557,[68],6,N/A,1706139679
118708,N/A,N/A,0,N/A,N/A,N/A,The Crew 2: Digital Deluxe Edition,N/A,N/A,N/A,N/A,1677141457
108614,N/A,N/A,0,N/A,N/A,N/A,Leo Spanish Spelling Complete,N/A,N/A,N/A,N/A,1670979407
130751,N/A,N/A,0,N/A,1335744000,N/A,Tower of Fortune,N/A,[39],N/A,N/A,1682106334
130752,N/A,N/A,0,N/A,N/A,N/A,Kuma no Pooh-San: 100 Acre no Mori no Cooking Book,N/A,N/A,N/A,N/A,1670970981
232258,N/A,N/A,0,N/A,N/A,N/A,Jello Bubbles: Pop Color Balls,N/A,N/A,N/A,[35],1695441394
232243,N/A,N/A,0,N/A,N/A,N/A,Pixel Race: Endless Retro Racing,N/A,N/A,N/A,[35],1693524495
311462,N/A,N/A,5,N/A,1721952000,N/A,Paradise Up Above: Gold Label Edition,312,[6],N/A,[1],1723745394
12930,N/A,N/A,0,N/A,631065600,"[56149, 56150]",Voyager,N/A,"[16, 63]",N/A,[18],1682743062
305010,N/A,N/A,1,N/A,1727136000,[276074],Street Fighter 6: Year 2 - Terry,191692,"[6, 48, 167, 169]",N/A,[1],1728338564
38557,N/A,N/A,0,N/A,349833600,"[152652, 152653]",Video Hustler,N/A,[52],N/A,N/A,1706139679
190243,N/A,N/A,0,N/A,N/A,N/A,Magna Graecia,N/A,N/A,N/A,N/A,1685021219
100487,N/A,N/A,0,N/A,N/A,N/A,Catch It,N/A,N/A,N/A,N/A,1670983351
92040,N/A,N/A,0,N/A,N/A,N/A,Bingo,N/A,N/A,N/A,N/A,1582361225
209901,N/A,N/A,0,N/A,1227052800,[179366],Hidden Secrets: The Nightmare,N/A,[6],N/A,N/A,1671016858
104739,N/A,N/A,0,N/A,N/A,N/A,Word Nut: Word Games & Puzzles,N/A,N/A,N/A,N/A,1670979105
89689,N/A,N/A,0,N/A,N/A,N/A,A Knight's Move,N/A,N/A,N/A,N/A,1670985395
118128,N/A,N/A,0,N/A,1575590400,"[93086, 93087]",Little Dungeon Stories,N/A,[6],4,N/A,1713262585
197231,N/A,N/A,0,N/A,1487721600,N/A,Rhom Bus,N/A,[39],N/A,N/A,1718016785
197609,N/A,N/A,0,N/A,1668470400,"[196292, 196293]",Ys VIII: Lacrimosa of Dana - Deluxe Edition,N/A,[167],N/A,"[1, 17]",1729406160
91555,N/A,N/A,0,N/A,N/A,[120745],Spike the Hedgehog,N/A,[6],N/A,N/A,1677177637
214402,70.0,1,0,N/A,1693267200,"[218768, 218769]",Under the Waves,N/A,"[6, 48, 49, 167, 169]",N/A,"[1, 18]",1730048814
313700,N/A,N/A,13,N/A,1721779200,[281886],Idle Champions: Dr. Buzz Watson the Bee Familiar Pack,43178,"[6, 14]",N/A,[1],1723784243
171309,N/A,N/A,0,N/A,1631836800,N/A,Neon Arena,N/A,[6],N/A,[1],1685750580
106781,N/A,N/A,0,N/A,N/A,N/A,Jump Ball Blast,N/A,N/A,N/A,N/A,1670979967
137234,N/A,N/A,0,N/A,N/A,N/A,Slip Slop,N/A,N/A,N/A,N/A,1670956639
137242,N/A,N/A,0,N/A,N/A,N/A,Premier Collection III,N/A,N/A,N/A,N/A,1670956869
104304,N/A,N/A,0,N/A,N/A,N/A,Wildland Animal Hunting,N/A,N/A,N/A,N/A,1670978981
52641,N/A,N/A,0,N/A,N/A,N/A,One Epic Game,N/A,N/A,N/A,N/A,1670982167
300977,N/A,N/A,11,N/A,1014336000,"[266564, 266565, 266566]",Disney's Peter Pan: Return to Neverland,44877,[24],N/A,[1],1715957658
130725,N/A,N/A,0,N/A,N/A,N/A,Caution! Platforming Ahead,N/A,N/A,N/A,N/A,1670970671
92009,N/A,N/A,0,N/A,N/A,N/A,Morph Chess 3D,N/A,N/A,N/A,N/A,1670984654
97156,N/A,N/A,0,N/A,N/A,N/A,UFO Hunter,N/A,N/A,N/A,N/A,1670981130
88217,N/A,N/A,0,N/A,N/A,N/A,Duck Bow Hunt,N/A,N/A,N/A,N/A,1670978604
209902,N/A,N/A,1,N/A,1054166400,N/A,Hidden Stroke: APRM,22063,[6],N/A,N/A,1658242080
195243,N/A,N/A,0,N/A,1649376000,N/A,Yummy Girl 2,N/A,[6],N/A,[42],1692843787
192243,N/A,N/A,0,N/A,N/A,N/A,Plumb,N/A,N/A,N/A,N/A,1691312028
126369,N/A,N/A,0,N/A,1573776000,N/A,Nanoworld,N/A,[6],N/A,[1],1692866498
79780,N/A,N/A,0,N/A,N/A,N/A,Slotter Mania Gaiden,N/A,N/A,N/A,N/A,1706003672
160532,N/A,N/A,1,N/A,N/A,N/A,Tiger Tank 59 I: A-Gun MP034,110980,N/A,N/A,[1],1685738159
185421,N/A,N/A,0,N/A,N/A,N/A,Paw Bois,N/A,N/A,N/A,N/A,1671006001
283003,N/A,N/A,0,N/A,1356912000,N/A,A.E.,N/A,[68],N/A,N/A,1706139857
258134,N/A,N/A,5,N/A,1657324800,N/A,Solar Struggle,10192,[6],N/A,[1],1724515745
71213,N/A,N/A,8,N/A,1181260800,"[245440, 245441]",Carriers at War,25615,[6],N/A,[22],1704215245
125015,N/A,N/A,11,N/A,1571270400,"[139045, 144122]",Arcade Archives: VS. Castlevania,40513,"[48, 130]",N/A,"[1, 17]",1729146100
83466,N/A,N/A,0,N/A,1579132800,[133617],Spider Solitaire,N/A,[130],N/A,N/A,1729146249
137244,N/A,N/A,0,N/A,N/A,N/A,Line Simulator 2020,N/A,N/A,N/A,N/A,1670956880
101918,N/A,N/A,0,N/A,N/A,N/A,Crayon Poke,N/A,N/A,N/A,N/A,1670991438
52235,N/A,N/A,0,N/A,N/A,"[159417, 159474]",Hospital Hustle,N/A,[5],N/A,N/A,1713145366
90359,N/A,N/A,0,N/A,N/A,N/A,iLudo,N/A,N/A,N/A,N/A,1670986834
102490,N/A,N/A,0,N/A,N/A,N/A,DinoSaur Ice Survival Craft,N/A,N/A,N/A,N/A,1670990764
137232,N/A,N/A,0,N/A,N/A,"[219838, 219839]",I Don't Want to Die,N/A,N/A,N/A,N/A,1687137263
317637,N/A,N/A,0,N/A,N/A,N/A,A Dream of Silence,N/A,[82],N/A,[17],1729146134
247093,N/A,N/A,0,N/A,1735603200,N/A,Asura The Striker,N/A,[6],N/A,[1],1701852261
244132,N/A,N/A,0,N/A,N/A,N/A,PlanetBlight,N/A,N/A,N/A,[1],1691315300
109461,57.5,2,10,N/A,1541462400,"[253379, 253380]",World of Final Fantasy: Maxima,11214,"[6, 48, 49, 130]",N/A,[17],1730048768
90944,N/A,N/A,0,N/A,N/A,N/A,Terwilliger,N/A,N/A,N/A,N/A,1670953223
55648,N/A,N/A,0,N/A,1507852800,N/A,Landon,N/A,"[6, 14]",4,[1],1692095309
105934,N/A,N/A,0,N/A,N/A,N/A,Fireman Titan Fights Games,N/A,N/A,N/A,N/A,1670977918
206978,N/A,N/A,0,N/A,946598400,[177519],Clue Jr. SpyGlass Mysteries,N/A,[6],N/A,N/A,1671015771
102719,N/A,N/A,0,N/A,1174521600,"[195327, 195328]",Air Assault 2,N/A,[6],N/A,[39],1670993575
269457,N/A,N/A,5,N/A,1661558400,N/A,Malevolence,312,[6],N/A,[1],1696215501
52692,N/A,N/A,0,N/A,N/A,N/A,Recoil: Retrograd,N/A,N/A,N/A,N/A,1670982278
98173,N/A,N/A,0,N/A,N/A,N/A,Daneta3,N/A,N/A,N/A,N/A,1670967842
264706,N/A,N/A,0,N/A,N/A,N/A,Emberrush,N/A,N/A,N/A,[1],1699282201
35649,N/A,N/A,0,N/A,825638400,[50016],Spud!,N/A,"[6, 13]",N/A,[27],1697474450
23635,70.0,1,0,N/A,N/A,N/A,Dragon Atlas,N/A,N/A,N/A,N/A,1670987077
147588,N/A,N/A,0,N/A,1565049600,"[163607, 163608]",Cazzarion,N/A,"[37, 49, 169]",N/A,"[1, 18]",1729146138
287510,N/A,N/A,0,N/A,1041292800,[254250],Five Days,N/A,[99],N/A,N/A,1708624796
43421,N/A,N/A,8,N/A,991872000,"[267660, 267661]",Maken Shao: Demon Sword,46378,"[8, 9]",N/A,[1],1718016476
137239,N/A,N/A,0,N/A,N/A,N/A,Brave Blob,N/A,N/A,N/A,N/A,1670956752
60688,N/A,N/A,0,N/A,N/A,N/A,Simon the Sorcerer 6: Between Worlds,N/A,N/A,N/A,N/A,1670964547
78096,N/A,N/A,0,N/A,N/A,N/A,Zyll,N/A,N/A,N/A,N/A,1692758934
92174,N/A,N/A,0,N/A,788832000,N/A,Vajra Ni,N/A,[487],N/A,N/A,1721726939
104234,N/A,N/A,0,N/A,N/A,N/A,Zombie Crisis: Survival,N/A,N/A,N/A,N/A,1670977553
9284,N/A,N/A,0,N/A,1417132800,[117068],Wings of Vi,N/A,[6],N/A,"[1, 17]",1726989037
274212,N/A,N/A,5,N/A,837993600,N/A,Sillouhettes of Phobos,10192,[6],N/A,[1],1724515743
97896,N/A,N/A,0,N/A,N/A,N/A,Lix,N/A,N/A,N/A,N/A,1670967944
137245,N/A,N/A,0,N/A,631065600,N/A,Tail to Nose: Great Championship,N/A,[52],N/A,N/A,1680491144
84367,N/A,N/A,0,N/A,N/A,N/A,Swamp Monsters,N/A,N/A,N/A,N/A,1670945287
215145,N/A,N/A,5,N/A,1618444800,N/A,Fire Emblem: Bases and Bandits,1440,[24],N/A,N/A,1726988993
91740,N/A,N/A,0,N/A,N/A,N/A,Aya Go,N/A,N/A,N/A,N/A,1670943837
92743,N/A,N/A,0,N/A,N/A,N/A,Grimblood,N/A,N/A,N/A,N/A,1670952297
130388,N/A,N/A,0,N/A,1251331200,N/A,Ano ne DS,N/A,[20],N/A,N/A,1696304680
298392,N/A,N/A,0,N/A,1705017600,[263058],Spellcheck,N/A,[82],N/A,[34],1713467856
189080,N/A,N/A,0,N/A,N/A,N/A,Kingdom Traveler,N/A,N/A,N/A,N/A,1691353227
182781,N/A,N/A,0,N/A,N/A,N/A,Idle Cannon,N/A,N/A,N/A,N/A,1641266832
110804,N/A,N/A,11,N/A,1569456000,"[76897, 97914, 239297]",Sega Ages: Ichidant-R,39980,[130],N/A,"[17, 22, 40]",1729146099
168973,N/A,N/A,0,N/A,N/A,N/A,Resonant,N/A,N/A,N/A,N/A,1685770320
206977,N/A,N/A,0,N/A,851990400,"[177517, 177518]",Clue,N/A,[6],N/A,N/A,1671015771
102723,N/A,N/A,0,N/A,N/A,N/A,Hello Racoon Neighbor,N/A,N/A,N/A,N/A,1670993523
91852,N/A,N/A,0,N/A,N/A,N/A,Tank Ace,N/A,N/A,N/A,N/A,1670955990
134854,N/A,N/A,0,N/A,N/A,N/A,Mochi Making Mischief,N/A,N/A,N/A,N/A,1670980068
206969,N/A,N/A,0,N/A,N/A,[177507],Chicken's Revenge,N/A,[6],N/A,N/A,1671015771
119066,N/A,N/A,0,N/A,1554422400,"[196218, 196219]",Left Alive: Day One Edition,N/A,[48],N/A,"[1, 18, 21, 23]",1685508674
209498,N/A,N/A,0,N/A,939254400,[178872],Simple 1500 Series Vol. 15: The Pachinko,N/A,[7],N/A,N/A,1671016668
46722,N/A,N/A,0,N/A,1417392000,[102182],Touhou Puppet Dance Performance,N/A,[6],N/A,[17],1726989239
180082,N/A,N/A,0,N/A,N/A,N/A,Welcome To... Chichester: The Spy of America and the Long Vacation,N/A,N/A,N/A,N/A,1671004160
210066,N/A,N/A,0,N/A,1230681600,[179522],Hoyle Casino 2009,N/A,[6],N/A,N/A,1671016937
190957,N/A,N/A,0,N/A,N/A,N/A,The Adventurer's Domain Online,N/A,N/A,N/A,[1],1685765791
83096,N/A,N/A,0,N/A,N/A,N/A,Facts 'N Fractions,N/A,N/A,N/A,[34],1682788814
127522,N/A,N/A,0,N/A,N/A,N/A,Tore World,N/A,N/A,N/A,N/A,1670994716
93231,N/A,N/A,0,N/A,1558569600,N/A,Adagio,N/A,[6],N/A,N/A,1677328290
94963,N/A,N/A,0,N/A,N/A,N/A,VBS2,N/A,N/A,N/A,N/A,1670962251
53295,N/A,N/A,0,N/A,N/A,N/A,Lost in Japan,N/A,N/A,N/A,N/A,1670992464
105764,N/A,N/A,0,N/A,N/A,N/A,Tiny Defense 2 - Mini Robot Wars,N/A,N/A,N/A,N/A,1670978732
13421,N/A,N/A,0,N/A,536371200,[46708],Bomb Jack II,N/A,"[15, 25, 26, 93]",N/A,[1],1717639189
233357,N/A,N/A,1,N/A,1670284800,N/A,Train Sim World 3: Bahnstrecke Bremen - Oldenburg,213113,"[49, 169]",N/A,N/A,1709030472
234955,N/A,N/A,0,N/A,1483142400,N/A,Brick Breaker Star: Space King,N/A,"[34, 39]",N/A,N/A,1675674729
148421,N/A,N/A,0,N/A,928195200,"[161185, 161186]",Picross NP Vol. 2,N/A,"[58, 137]",8,N/A,1709115661
164892,N/A,N/A,0,N/A,1605830400,N/A,The Purification,N/A,[6],N/A,[1],1690322478
283010,N/A,N/A,0,N/A,473299200,N/A,Super Sketch,N/A,[68],N/A,N/A,1706140886
182463,N/A,N/A,0,N/A,1667088000,[158848],Nodrog's Fortress,N/A,[6],N/A,"[1, 17]",1723499798
252495,N/A,N/A,0,N/A,1690243200,"[222817, 222818]",Remnant II: Ultimate Edition,N/A,"[6, 167, 169]",N/A,[1],1728669970
54033,N/A,N/A,0,N/A,1456185600,"[77868, 219780]",Far Cry Primal: Apex Edition,N/A,"[6, 48, 49]",N/A,"[1, 21, 38]",1730048785
85909,N/A,N/A,0,N/A,N/A,N/A,Hard Core,N/A,N/A,N/A,N/A,1670949896
249471,N/A,N/A,0,N/A,1683763200,N/A,The Empress of Mahjong,N/A,[6],N/A,N/A,1689607448
207010,N/A,N/A,3,N/A,N/A,N/A,The Hidden Object Show Seasons 1 & 2,N/A,N/A,N/A,N/A,1656613103
259962,N/A,N/A,0,N/A,1691020800,[268647],Item Tower,N/A,"[6, 48, 130]",N/A,[1],1729992100
69636,N/A,N/A,0,N/A,N/A,N/A,Desert Racing of BarDos,N/A,N/A,N/A,"[1, 18]",1686024358
129381,N/A,N/A,0,N/A,1580169600,N/A,Fishy2,N/A,[6],N/A,[1],1692117905
237539,N/A,N/A,0,N/A,1675987200,"[203777, 203778]",Noel the Mortal Fate: Season 11,N/A,[6],N/A,"[1, 17]",1729401061
187455,N/A,N/A,0,N/A,1642377600,N/A,Top Bike: Racing & Moto Drag,N/A,[130],N/A,N/A,1688134949
92718,N/A,N/A,0,N/A,788832000,N/A,Hyperion,N/A,[487],N/A,N/A,1721726700
126385,N/A,N/A,0,N/A,N/A,N/A,Adam: Robot World,N/A,N/A,4,N/A,1685769959
114663,N/A,N/A,0,N/A,N/A,[73768],Fractured: A Tale of Two Worlds,N/A,N/A,N/A,N/A,1670985260
97521,N/A,N/A,0,N/A,N/A,N/A,Sword of the Dimacreation: Side Story - The Hunt of Rabbit,N/A,N/A,N/A,N/A,1670968075
114697,N/A,N/A,0,N/A,N/A,[73833],Fitness Village,N/A,N/A,N/A,N/A,1679300396
92751,N/A,N/A,0,N/A,N/A,N/A,Jirbo Break,N/A,N/A,N/A,N/A,1670952256
69285,N/A,N/A,0,N/A,N/A,N/A,Butterfly Garden,N/A,N/A,N/A,N/A,1670952873
308060,N/A,N/A,0,N/A,694137600,[275733],Barcode Battler,N/A,[411],N/A,N/A,1721800107
139649,N/A,N/A,0,N/A,1604534400,[112120],Seaside Cafe Story,N/A,[6],N/A,N/A,1694046103
92943,N/A,N/A,0,N/A,N/A,N/A,Puzzle Blast,N/A,N/A,N/A,N/A,1670950848
94928,N/A,N/A,0,N/A,N/A,N/A,Taxi3: Extreme Rush,N/A,N/A,N/A,N/A,1670951806
208527,N/A,N/A,0,N/A,N/A,N/A,8 Days,N/A,[6],N/A,[1],1709511675
